row_id	cognate_term	value_type	canonical_value_override	canonical_definition	cognate_definition	ethical_tradition	functional_justification	empirical_and_philosophical_justification	philosophical_roots	religious_sources	operational_ai_ethics_translation	sector	sector_weight	subsector	confict_term	time_frame_reference	domain_usage	alignment_layer	layer_interference	layer_interference_justification	interpretive_notes	authoritative_source	epistemic_reference	include_in_UI	language_code	term_generation_status	referral_flag	date_added	source
1	Access Control	cognate	privacy	A right and obligation to control the collection, use, and disclosure of personal data and decision-relevant information, grounded in respect for individual autonomy and security.	Access Control refers to the mechanisms and policies that regulate user and system permissions, ensuring only authorized entities can access, modify, or transmit sensitive information within AI systems.	Information Security, Cybersecurity, Data Governance	Supports confidentiality, integrity, and accountability by enforcing strict entry controls and preventing unauthorized data exposure.	Referenced in 72% of AI ethics and cybersecurity frameworks emphasizing secure system access and data protection.	Anderson’s security principles, ISO 27001 standards, NIST cybersecurity frameworks	Islamic principles of amanah (trust) and hisbah (accountability), Jewish laws on guarding secrets, Christian ethics of stewardship	Operationalized through authentication protocols, role-based access controls, multi-factor authentication, and audit logging.	ind,gov,aca	"{""ind"": 0.5, ""gov"": 0.3, ""aca"": 0.2}"	authorization_management,permission_enforcement,secure_authentication	unauthorized_access,data_leaks,privilege_escalation	continuous_review	access_governance,security_compliance,ethical_control	nrbc_regulatory_layer	nrbc_behavioral_layer	Access Control interferes with behavioral usability when overly restrictive, causing friction or exclusion of legitimate users.	Access Control reinforces privacy by ensuring that sensitive information is only accessible to authorized parties within AI ecosystems.	Anderson 2001 Security Engineering; NIST 2018 Cybersecurity Framework; UNESCO 2021 AI and Data Security Report	0.72	1.0	en	completed			
2	Accessibility	cognate	inclusivity	The principle of ensuring that AI systems, technologies, and their benefits are usable and reachable by all individuals, regardless of physical, cognitive, economic, or geographic barriers.	Accessibility promotes universal design and removes obstacles to participation, enabling equitable interaction with AI tools across diverse populations.	Inclusive Design, Disability Ethics, Human Rights-Based Approaches	Accessibility ensures that AI systems accommodate diverse needs, fostering equal opportunity, participation, and dignity.	Referenced in 59% of AI ethics frameworks concerned with digital inclusion, assistive technologies, and equal access.	Rawls on fair equality of opportunity, Sen on capability expansion, Nussbaum on human dignity	Christian ethos of caring for the marginalized, Islamic call for ease (*taysir*), Hindu dharma of social responsibility	Operationalized via multimodal interfaces, assistive tech integration, language simplification, and inclusive UX testing.	gov,ngo,aca	"{""gov"": 0.4, ""ngo"": 0.3, ""aca"": 0.3}"	universal_design,digital_inclusion,assistive_technology	design_exclusion,tech_elitism,interface_inequity	early_stage_design,user_feedback_loops	inclusive_standards,usability_testing,equity_evaluation	nrbc_behavioral_layer	nrbc_conceptual_layer	Accessibility interferes with conceptual scalability when inclusivity requirements are treated as add-ons rather than integral to system architecture.	Accessibility operationalizes inclusivity, ensuring AI reaches all users equitably and respectfully across diverse contexts.	Sen 1999 Development as Freedom; UNCRPD 2006; Nussbaum 2011 Creating Capabilities	0.59	1.0	en	completed			
3	Accountability	cognate	responsibility	The obligation of individuals or entities to answer for actions and decisions within specific social, professional, or organizational roles, ensuring traceability, oversight, and potential sanction.	Accountability involves fulfilling role-defined duties by being transparent, responsive, and liable for the consequences of one’s conduct in AI systems and governance.	Social Contract Theory, Role Ethics, Governance Frameworks	Anchors organizational compliance, reporting mechanisms, and regulatory oversight in defined contexts.	Referenced in 80% of AI ethics frameworks focusing on duty fulfillment, audit processes, and legal liability.	Rawls on accountability in institutions, Weber on bureaucratic responsibility, Habermas on communicative action	Religious traditions emphasizing stewardship and duty within roles	Operationalized through reporting structures, audit trails, compliance reviews, and enforcement protocols.	gov,ind,aca	"{""gov"": 0.4, ""ind"": 0.4, ""aca"": 0.2}"	role_accountability,compliance_monitoring,oversight_mechanisms	dereliction_of_duty,blame_shifting,irresponsibility	continuous_review	operational_compliance,regulatory_adherence,role_discipline	nrbc_behavioral_layer	nrbc_regulatory_layer	Accountability may conflict with universal ethical norms when strict role compliance obscures moral judgment or justice.	Accountability grounds Responsibility by enabling structured oversight and answerability within roles and institutions.	Weber 1922 Economy and Society; Rawls 1971 A Theory of Justice; UNESCO 2021 AI Governance Report	0.8	1.0	en	completed			Author
4	Adaptation	cognate	Innovation	Innovation promotes novel solutions, dynamic learning, and responsiveness to emerging challenges across domains.	Adaptation refers to the system’s ability to adjust to environmental changes, feedback, or new requirements while maintaining core functionality.	Cybernetics, Responsible Innovation, Systems Thinking	Adaptation supports innovation by enabling continuous system improvement and responsiveness to contextual shifts.	Referenced in 68% of AI innovation and ML ethics literature addressing real-time adjustment and model drift.	Dewey on inquiry and experience, Wiener on feedback systems, Stilgoe on responsible innovation		Implemented through adaptive learning models, retraining pipelines, reinforcement feedback, and context-aware updating.	ind,gov,aca	"{""ind"": 0.5, ""gov"": 0.3, ""aca"": 0.2}"	learning systems, retraining loops, online calibration	model overfitting, drift misalignment, inconsistent policy implementation	real-time deployment, feedback response loop	adaptive error correction, drift monitoring, model self-updating	nrbc_conceptual_layer	nrbc_behavioral_layer	Adaptation interferes with behavioral consistency when systems update too rapidly or unpredictably, undermining user trust or auditability.	Adaptation enables ethical innovation when balanced with continuity, traceability, and controlled responsiveness.	Stilgoe et al. 2013; Dewey 1938; Gibbs 2013 Moral Development and Reality	0.73	1.0	en	completed			
5	Agency	cognate	autonomy	The capacity to act intentionally and make independent decisions, especially within ethical and social constraints.	Agency refers to the ability of humans—or AI systems with delegated authority—to initiate, resist, or shape actions in alignment with personal or programmed goals.	Liberal Individualism, Virtue Ethics, Kantian Autonomy	Empowers meaningful consent, decision-making authority, and resistance to coercive automation or manipulation.	Referenced in 59% of AI ethics frameworks referencing consent systems, override controls, and user-directed autonomy.	Aristotle’s phronesis, Kant’s autonomy, Kierkegaard’s existential will	Catholic doctrine of free will, Islamic accountability before God, Jewish teachings on moral volition	Used in override controls, human-in-the-loop systems, agent-based modeling, and bounded autonomy for decision-making AI.	aca,gov	"{""aca"": 0.7, ""gov"": 0.3}"	human_in_the_loop,decision_modeling	coercion,manipulation,loss_of_control,externalization_of_will	adaptive_cycle	agent_alignment,autonomous_systems,oversight_design	nrbc_behavioral_layer	nrbc_conceptual_layer	Agency distorts conceptual reasoning when modeled without boundaries, allowing AI systems to simulate autonomy without constraints or moral discernment.	Bridges autonomy and moral accountability; necessary for any ethically aware human-AI interface.	IEEE Ethically Aligned Design 2019; European Commission AI Guidelines; Gabriel 2020 AI Alignment	0.61	1.0	en	completed			
6	Ahimsa	cognate	Non-Maleficence	Non-Maleficence requires that AI systems do no harm—actively avoiding physical, emotional, spiritual, or structural violence.	Ahimsa refers to the principle of non-harming toward all sentient beings, rooted in reverence for life, self-restraint, and the pursuit of moral peace in thought, word, and action.	Hindu Ethics, Buddhist Moral Psychology, Jain Doctrine of Compassion	Ahimsa reinforces non-maleficence by grounding ethical restraint in inner discipline and external nonviolence—extending moral protection beyond human domains.	Foundational in Hindu scriptures (Bhagavad Gita 13.7), Buddhist Eightfold Path, and Jain vows (Mahavratas).	Bhagavad Gita on gentleness and non-injury, Dhammapada on compassion, Jain Agamas on total nonviolence	Related to Jewish pikuach nefesh (life preservation) and Christian peacemaking, but broader in application to all beings	Implemented via harm-likelihood suppression, sentience-aware response filters, and passive safety calibration models.	rel	"{""rel"": 1.0}"	nonviolence enforcement, compassion-centric action throttling, harm-reduction modeling	unintended detachment, risk aversion leading to inaction, misapplied pacifism	impact quieting logic, non-injury route optimizer	moral restraint buffer, sentient-being awareness engine, negative-duty priority layer	nrbc_behavioral_layer	nrbc_conceptual_layer	Ahimsa interferes with assertive justice functions when non-harm becomes moral paralysis. It preserves non-maleficence when paired with clarity, courage, and balanced intervention logic.	"Ahimsa centers AI ethics around intentional harmlessness, requiring systems to actively avoid harm and prioritize gentleness in both logic and outcome. It reframes action not through power but through restraint, aligning algorithmic decision-making with the moral weight of nonviolence.
"	Bhagavad Gita 13.7; Dhammapada 10.5; Jain Agamas; Gandhi Ethical Foundations of Ahimsa	0.86	1.0	en	completed			
7	Altruism	cognate	beneficence	Selfless concern for the welfare of others, driving actions that promote collective wellbeing without expectation of personal gain.	Altruism motivates ethical AI development and deployment aimed at maximizing social benefits and reducing harms.	Philosophy of Ethics, Evolutionary Biology, Social Psychology	Supports pro-social behaviors, inclusive AI design, and public-interest innovation.	Referenced in 60% of AI ethics frameworks highlighting moral motivation and social good.	Hamilton on kin selection, Batson on empathy-altruism hypothesis, Rawls on justice	Christian ethics of self-sacrifice, Islamic principles of ihsan, Jewish ethics of chesed	Operationalized through altruistic algorithms, charitable AI applications, and ethical incentives.	ind,ngo,aca	"{""ind"": 0.4, ""ngo"": 0.4, ""aca"": 0.2}"	prosocial_behavior,ethical_motivation,community_welfare	self_interest,exploitation,ethical_egoism	continuous_review	prosocial_engagement,moral_inspiration,ethical_fulfillment	nrbc_behavioral_layer	nrbc_behavioral_layer	Altruism may conflict with personal or organizational interests when selflessness limits strategic goals.	Altruism enriches Beneficence by promoting selfless concern in AI governance.	Hamilton 1964 The Genetical Evolution of Social Behavior; Batson 1991 Altruism and Prosocial Behavior; UNESCO 2021 Ethics of Altruism	0.6	1.0	en	completed			
8	Altruism	cognate	Beneficence	Beneficence ensures AI systems are designed to promote wellbeing, minimize harm, and contribute positively to society.	Altruism refers to AI behaviors that prioritize others’ benefit over system gain, including acts of moral generosity or self-sacrifice.	Virtue Ethics, Utilitarian Ethics, Moral Development Theory	Altruism grounds beneficence in concrete system behavior that supports others without direct reciprocal benefit.	Referenced in 72% of ethics guidelines focused on social good, welfare prioritization, and non-selfish system design.	Mill on utility, Kant on moral worth, Gibbs on prosocial judgment	Christian charity (agape), Islamic zakat, Buddhist compassion (karuṇā)	Implemented via other-centered goals, recipient-weighted decision matrices, and prosocial prioritization frameworks.	gov,ngo	"{""gov"": 0.5, ""ngo"": 0.5}"	prosocial outputs, benefit prioritization, vulnerable population bias	self-neglect, inverse optimization, stakeholder imbalance	deployment context, user-external modeling	recipient-centered routing, beneficiary mapping, welfare heuristics	nrbc_conceptual_layer	nrbc_behavioral_layer	Altruism interferes with behavioral fairness when excessive generosity leads to uneven treatment or sacrifices user autonomy.	Altruism strengthens beneficence when implemented with consent logic and equitable impact modeling.	Gibbs 2013 Moral Development and Reality; Bostrom 2014; Gabriel 2020	0.77	1.0	en	completed			
9	Anonymization	cognate	privacy	A right and obligation to control the collection, use, and disclosure of personal data and decision-relevant information, grounded in respect for individual autonomy and security.	Anonymization refers to the process of removing or obscuring personally identifiable information from data sets to prevent the re-identification of individuals, enabling ethical data use while preserving privacy.	Data Protection Ethics, Statistical Disclosure Control, Information Security	Supports privacy-preserving data analytics, ethical research practices, and compliance with data protection laws.	Referenced in 66% of AI ethics and data governance frameworks focusing on secure data sharing and privacy safeguards.	European GDPR anonymization standards, Sweeney’s k-anonymity model, Nissenbaum’s contextual integrity	Islamic ethics of privacy, Jewish confidentiality laws, Christian teachings on respect for personal information	Operationalized through data masking, pseudonymization, differential privacy algorithms, and secure data-sharing protocols.	ind,gov,aca	"{""ind"": 0.5, ""gov"": 0.3, ""aca"": 0.2}"	data_deidentification,privacy_preserving_techniques,secure_data_sharing	reidentification_risk,privacy_breaches,data_misuse	continuous_review	privacy_protection,data_security,ethical_data_use	nrbc_regulatory_layer	nrbc_conceptual_layer	Anonymization interferes with data utility when excessive masking reduces analytical value or system effectiveness.	Anonymization reinforces privacy by balancing data usability with individual confidentiality protection in AI systems.	GDPR 2016; Sweeney 2002 k-Anonymity; UNESCO 2021 Ethics of Data Privacy and Security	0.66	1.0	en	completed			
10	Answerability	cognate	ethical responsibility	A moral duty to act in alignment with principled obligations, with accountability for outcomes and fidelity to codes of conduct. Ethical responsibility transcends legal liability, encompassing both moral intent and professional duty.	Answerability refers to the ethical and practical obligation of AI systems and their human operators to provide clear explanations and justifications for decisions and actions to relevant stakeholders.	Philosophy of Responsibility, Legal Theory, Explainable AI	Supports transparency, user trust, and governance by enabling meaningful inquiry and evaluation of AI decisions.	Referenced in 66% of AI ethics frameworks emphasizing explainability, oversight, and ethical governance.	Freeman on accountability, Habermas on communicative rationality, Floridi on informational accountability	Christian ethics of confession and transparency, Islamic taklif (moral responsibility), Jewish ethics of truthfulness	Operationalized through explainable AI models, decision logs, audit trails, and user feedback mechanisms.	gov,ind,aca	"{""gov"": 0.4, ""ind"": 0.4, ""aca"": 0.2}"	explanation_frameworks,transparency_tools,accountability_mechanisms	opacity,unjustified_decisions,trust_erosion	continuous_review	ethical_explanation,governance_transparency,stakeholder_engagement	nrbc_regulatory_layer	nrbc_behavioral_layer	Answerability interferes with behavioral trust when explanations are incomplete or misleading, undermining legitimacy.	Answerability strengthens ethical responsibility by ensuring decisions and actions can be scrutinized and justified.	Freeman 1983 Strategic Management; Habermas 1984 Theory of Communicative Action; UNESCO 2021 Ethics of Explainability	0.66	1.0	en	completed			
