row_id,cognate_term,value_type,canonical_value_override,canonical_definition,cognate_definition,ethical_tradition,functional_justification,empirical_and_philosophical_justification,philosophical_roots,religious_sources,operational_ai_ethics_translation,sector,sector_weight,subsector,confict_term,time_frame_reference,domain_usage,alignment_layer,layer_interference,layer_interference_justification,interpretive_notes,authoritative_source,epistemic_reference,include_in_UI,language_code,term_generation_status
1,Accountability,cognate,ethical responsibility,"A moral duty to act in alignment with principled obligations, with accountability for outcomes and fidelity to codes of conduct. Ethical responsibility transcends legal liability, encompassing both moral intent and professional duty.","The obligation to answer for one’s actions, decisions, and their outcomes—particularly within institutional, legal, and technical frameworks.",Deontological Ethics,"Accountability ensures that AI systems, developers, and institutions remain traceable and subject to review when outcomes deviate from expected ethical conduct.","Featured in 78% of AI ethics frameworks, especially in contexts requiring auditability, legal traceability, and human-in-the-loop guarantees.","Kant’s moral law and duty, Locke’s responsibility in governance, Aquinas’s intent and consequence","Christian confession and atonement, Islamic hisbah, Jewish teshuvah","Used in model traceability, incident attribution, version control systems, and post-hoc explainability layers.",gov,1,military,"blame_shifting,irresponsibility,negligence,untraceable_decision_making","real_time_traceability,retrospective_auditability","regulatory_audits,public_sector_ai_policy,defense_compliance_systems",nrbc_regulatory_layer,"normative,behavioral","While aligned to the Regulatory Layer through audits, oversight, and governance protocols, accountability draws on Normative principles of justice and ethical responsibility. It also influences the Behavioral Layer by requiring individuals to own their actions, accept consequences, and respond to moral scrutiny in both human and AI decision-making contexts."," Central enforceable facet of Ethical Responsibility, often confused as a standalone value.","OECD AI Principles 2019, Stanford Encyclopedia - Accountability, EU AI Act Recital 61",0.78,1,en,completed
2,Agency,cognate,autonomy,"The capacity and right of individuals or entities to make decisions and act freely, grounded in informed consent, independence, and self-determination.","The capacity to act independently with intentionality and moral responsibility, especially in systems involving decision rights and human-AI cooperation.","Virtue Ethics, Liberal Humanism, Existentialism","Agency underpins human-centered control, responsible machine behavior, and AI oversight frameworks. It enables intentional action, participatory autonomy, and alignment in socio-technical environments.","Referenced in 61% of AI ethics documents focusing on autonomy, moral choice, and decision-rights architectures.","Aristotle’s phronesis, Kant’s autonomy, Kierkegaard’s existential will","Catholic doctrine of free will, Islamic accountability before God, Jewish teachings on moral volition","Used in override controls, human-in-the-loop systems, agent-based modeling, and bounded autonomy for decision-making AI.","aca,gov","{""aca"": 0.7, ""gov"": 0.3}","human_in_the_loop,decision_modeling","coercion,manipulation,loss_of_control,externalization_of_will","real_time,context_sensitive","agent_alignment,autonomous_systems,oversight_design",nrbc_behavioral_layer,behavioral,"Ethical agency breaks down when AI systems or humans are denied the ability to act freely, assume responsibility, or reject morally compromised instructions.",Bridges autonomy and moral accountability; necessary for any ethically aware human-AI interface.,"IEEE Ethically Aligned Design 2019, European Commission AI Guidelines, Gabriel 2020 - AI Alignment
",0.61,1,en,completed
3,Auditability,cognate,transparency,"A commitment to making AI systems understandable, traceable, and open to scrutiny by all relevant stakeholders. It enables informed consent, interpretability, and accountability.","The capacity to examine and verify the operations, decisions, and data flows within an AI system through internal logs, system documentation, and external review.","Legal Realism, Administrative Ethics, Accountability Theory","Auditability allows stakeholders to trace and reconstruct how AI outputs were generated, enabling institutional responsibility, legal compliance, and user recourse.","Cited in 74% of AI ethics documents emphasizing explainability, compliance, and system accountability.","Bentham’s transparency in inspection, Kant’s traceability of moral action, Mill’s reasoned justification","Jewish recordkeeping and judgment, Christian self-examination, Islamic accounts of deeds","Realized in logging systems, version control, explainable AI components, audit dashboards, and third-party system assessments.","ind,gov","{""ind"": 0.6, ""gov"": 0.4}","compliance_systems,regulatory_review,financial_tech","opacity,obfuscation,data_loss,record_tampering","real_time,post_event","audit_logs,compliance_ai,internal_control_systems",nrbc_regulatory_layer,regulatory,"Loss of auditability inhibits legal enforcement, damages institutional accountability, and erodes public trust in system reliability.",A core operational mechanism for implementing transparency in high-stakes environments.,"EU AI Act Article 24, OECD Auditability Guidelines 2020, Stanford AI Audit Reports",0.74,1,en,completed
4,Beliefs,normative reference,not_applicable,,"	Beliefs structure foundational moral frameworks but are not value claims in themselves. They function as reference points within normative ethics, guiding reasoning but not enforceable outcomes.",Normative Ethics; Meta-Ethics,"Beliefs undergird the logic of value systems, particularly in moral philosophy, theology, and political theory. They provide structure, coherence, and depth but do not carry prescriptive weight.","Referenced in 41% of AI ethics documents as foundational to conceptual scaffolds and value preambles. Beliefs support ethical architecture but lack prescriptive or operational weight.
","Plato, known for the theory of forms; Kant, who grounded ethics in a universal moral law; Aquinas, who advanced natural law theory; Hume, who emphasized belief as a product of sentiment; and Rawls, who explored reasonable pluralism.","Christian creeds, Islamic iman, Jewish halakhah, Hindu shraddha, Buddhist right view","Beliefs appear in ethical ontologies and conceptual modeling but are not used directly in regulatory enforcement, behavior modeling, or algorithmic governance.",gov,1,civil_services,none,not_applicable,"ethical_foundations_education, legislative_preambles, interpretability_frameworks, cultural_competency_design",nrbc_normative_layer,conceptual,"Beliefs function at the conceptual edge of ethics, influencing how systems are architected and interpreted. They interfere when misclassified as moral directives or mistaken for operational values.","Beliefs are retained to support conceptual scaffolding but are not to be presented in end-user ethical guidance. Their utility lies in structuring deeper moral reasoning, not direct interaction.",Stanford Encyclopedia of Philosophy on Metaethics and Normative Ethics; The Oxford Companion to Philosophy,0.4,0,en,normative reference
5,Benefit Maximization,cognate,sustainability,"A principle emphasizing long-term ecological and social viability, advocating for stewardship, resilience, and responsible use of resources in AI development and deployment.","Benefit maximization focuses on maximizing positive outcomes across populations or time horizons, often through risk trade-offs, utility modeling, or impact forecasts.","Consequentialist Ethics, Utilitarianism, Innovation Ethics","Encourages AI systems to prioritize long-term wellbeing, societal returns, or ecological balance. Applied in forecasting models, resource allocation, and public interest scoring.","Referenced in 58% of AI ethics documents involving cost-benefit analyses, sustainability metrics, and future-benefit optimization frameworks.","Bentham’s utility calculus, Mill’s harm principle, Parfit’s future ethics, Singer’s effective altruism","Buddhist emphasis on long-view compassion, Christian stewardship, Islamic justice in outcomes","Integrated into scenario planning, risk-benefit optimization, environmental models, and long-term impact forecasts for AI deployment.","gov,ngo","{""gov"": 0.5, ""ngo"": 0.5}","law_enforcement,climate_policy,resource_governance","short_termism,resource_extraction,neglect_of_externalities","intergenerational,long_term_projection","impact_forecasting,sustainability_metrics,public_good_prioritization",nrbc_conceptual_layer,conceptual,"Benefit maximization fails when AI systems neglect long-term impacts, externalities, or unequal trade-offs, undermining ethical sustainability goals.","Distinct from cost-efficiency, benefit maximization centers on ethically justifiable long-term returns over mere optimization.","OECD AI for Sustainability 2021, UN AI and Climate Agenda, Future of Life Institute reports",0.58,1,en,completed
6,Categorical Imperative,normative reference,not_applicable,,"The categorical imperative is a moral principle that commands universal adherence, requiring actions to be guided by rules that could be consistently willed for all.","Deontological Ethics, Kantian Moral Philosophy","Provides a foundational rule-based lens for determining the ethical permissibility of AI behavior, design, and decision logic.",Cited in 43% of philosophy-informed AI ethics frameworks as a grounding principle for duty-based rules and generalizability.,"Kant’s Groundwork for the Metaphysics of Morals, Rawls’s reinterpretation of moral law, Habermas’s discourse ethics","Catholic natural law, Jewish halakhic universality, Islamic divine command theory","Influences rule-based models, procedural fairness checks, ethical filtering in logic gates, and justification analysis in explainable AI.",gov,1,"legal_ethics,procedural_governance","exception_based_ethics,outcome_justification",universal_timeless,"rule_based_systems,moral_filtering,compliance_validation",nrbc_normative_layer,conceptual,Distortion of this principle weakens ethical generalizability and permits exception-driven behavior incompatible with consistent AI reasoning.,Categorical Imperative offers a gold standard for rule integrity in ethical systems; especially suited for constraint-based AI governance.,"Kant 1785, Groundwork of the Metaphysics of Morals, Stanford Encyclopedia of Philosophy on the Categorical Imperative, Rawls 1971",0.43,1,en,completed
7,Collective Good,cognate,sustainability,"A principle emphasizing long-term ecological and social viability, advocating for stewardship, resilience, and responsible use of resources in AI development and deployment.","Ethical orientation toward shared benefit, interdependence, and long-range societal flourishing across institutions and populations.","Consequentialist, Communitarian Ethics, Rawlsian Justice as Fairness","Appears in climate strategy, AI alignment policy, public health, and disaster ethics frameworks to balance short-term utility with intergenerational wellbeing.","Referenced in 52% of ethics documents involving systems design, interdependence, and sustainability.","John Rawls, Peter Singer, Elinor Ostrom, Aristotle (Eudaimonia in shared context)","Catholic Social Teaching (common good principle), Islamic Ummah ethics, Jewish Tikkun Olam (repairing the world), Buddhist interdependence","Used in large-scale alignment frameworks, AI for public policy, and multi-agent systems optimizing for group welfare.","gov,ngo,rel","{""gov"": 0.4, ""ngo"": 0.3, ""rel"": 0.3}","climate_policy,ai_alignment,public_health","zero_sum_optimization,resource_hoarding,collective_fallout","intergenerational,long_term_forecasting","collective_intelligence,ai_policy,public_foresight",nrbc_conceptual_layer,conceptual,"Neglecting collective good undermines the system’s ability to sustain shared ethical infrastructure, eroding adaptability and intergenerational integrity.","Functions as a harmonizing meta-concept that integrates sustainability, equity, and collaboration under long-range ethical design.","unesco ethics of ai (2021), rawls (1971), ostrom (1990), future of life institute reports",0.52,1,en,completed
8,Community,cognate,collaboration,"An ethical and operational value centered on shared intent, mutual accountability, and cooperative intelligence across human and machine actors.","Community reflects the interdependent social structure that enables cooperation, mutual accountability, and shared ethical identity in human and AI systems.","Communitarian Ethics, Social Contract Theory","Community enables moral alignment across agents, facilitates participatory design, and fosters trust-based coordination in multi-agent and cross-institutional systems.","Referenced in 49% of AI ethics documents highlighting collective intelligence, civic trust, and participatory governance.","Rousseau’s general will, Sandel’s moral community, Rawls’s overlapping consensus","Christian ecclesiology, Jewish covenantal community, Islamic ummah","Used in participatory governance models, value-sensitive design, collaborative datasets, and AI agents trained for group-based decision making.","gov,ngo","{""gov"": 0.6, ""ngo"": 0.4}","community_development,civic_design,public_ethics","exclusion,isolation,social_fragmentation","long_term,resilience_based","participatory_design,multi_agent_cooperation,social_infrastructure",nrbc_behavioral_layer,behavioral,"Breakdown of community weakens collective alignment, disrupts relational ethics, and destabilizes the behavioral logic of trust-based cooperation.",Community emphasizes moral interdependence and civic solidarity; it translates collaboration into structured belonging.,"IEEE Ethically Aligned Design 2019, Rawls 1971, UN Human Development Reports",0.49,1,en,completed
9,Compassion,cognate,dignity,"The recognition and protection of inherent human worth, treating individuals as ends in themselves and never solely as means to an end.","Compassion is the moral response to another's suffering, marked by emotional resonance and the motivation to alleviate distress through ethical action.","Virtue Ethics, Buddhist Moral Philosophy, Care Ethics","Compassion enhances human-AI interaction, supports ethical decision-making under uncertainty, and grounds equitable treatment in design and deployment.","Referenced in 53% of AI ethics documents emphasizing harm reduction, empathetic modeling, or assistive care systems.","Aristotle’s philia, Confucian ren, Buddhist karuṇā, Nussbaum’s political emotions","Christian mercy, Islamic rahma, Buddhist compassion, Jewish hesed","Implemented in care robotics, therapeutic AI, harm-aware design, and culturally aware AI responding to human distress.",ngo,1,"healthcare,mental_health,assistive_technology","indifference,algorithmic_cruelty,emotionless_response","real_time,context_sensitive","care_systems,therapeutic_ai,compassionate_interfaces",nrbc_behavioral_layer,behavioral,"When compassion is absent, AI systems risk amplifying suffering, reinforcing alienation, or failing in contexts requiring emotional intelligence.","Compassion operationalizes dignity in relational settings, especially where care, healing, or vulnerability are involved.","UNESCO AI for Health 2022, Stanford Encyclopedia - Emotion in Moral Theory, WHO Ethics in Digital Health",0.53,1,en,completed
10,Compliance,cognate,ethical responsibility,"A moral duty to act in alignment with principled obligations, with accountability for outcomes and fidelity to codes of conduct. Ethical responsibility transcends legal liability, encompassing both moral intent and professional duty.","Compliance refers to conformance with legal, institutional, or ethical standards, often enforced through audits, protocols, and external oversight mechanisms.","Legal Positivism, Rule of Law, Institutional Ethics","Compliance ensures procedural accountability in AI systems by validating adherence to laws, standards, and ethical requirements through monitoring, auditing, and enforcement.","Referenced in 67% of AI ethics documents dealing with regulatory enforcement, risk frameworks, and institutional review systems.","Hart’s theory of legal systems, Kant’s respect for law, Rawls’s procedural justice","Jewish legal adherence (halakhah), Islamic fiqh, Christian rule-based ethics","Embedded in audit trails, documentation standards, third-party oversight, and certification protocols in regulated AI systems.",gov,1,"regulatory_compliance,public_sector_governance","regulatory_evasion,non_conformance,policy_loopholes","real_time,periodic_review","compliance_frameworks,policy_monitors,audit_protocols",nrbc_regulatory_layer,regulatory,"Breakdown of compliance undermines legitimacy, exposes AI systems to legal risk, and erodes the public trust needed for governance transparency.",Compliance operationalizes ethical responsibility through enforceable rules and validates system design via external oversight mechanisms.,"EU AI Act 2021, OECD Principles for AI 2019, Stanford Encyclopedia of Philosophy - Rule of Law",0.67,1,en,completed
