Unique_ID,Researcher,Name of Document,Issuer,Date of Issue,URL,Sector,Sector_Override,Country,Matched_PDF,Confirmed_Match,Citation_Label,Citation_Source,Normalized Principles,Normalized Values,Disvalue_Flag,Notes,Likely_File_Match
DOC_001,Jobin,10 Principles of Responsible AI,Women Leading in AI,2018.0,https://www.womenleadinginai.org/10-principles,Business,ind,UK,WLiAI-Report-2019.pdf,Yes,"Women Leading in AI, 2018",Women Leading in AI,"Safety and security
Professional Responsibility","Fairness, transparency, accountability, privacy, inclusivity, human control, sustainability, promotion of human values",,,No
DOC_002,Hinrichs,2025 and the Next Chapters of AI,Google Deep Minds,2025.0,https://cloud.google.com/transform/2025-and-the-next-chapters-of-ai/?form=MG0AV3,Industry,ind,USA,2025 and the Next Chapter(s) of AI (website),No,"Google Deep Minds, 2025",2025 and the Next Chapters of AI,"Principles: trust, safety, transparency, fairness, proactive governance, ethical integration, addressing unintended consequences, fostering innovation responsibly; "," inclusivity, ethical responsibility, societal trust, sustainability, collaboration",,,No
DOC_003,Hinrichs,5 Trends for 2025,IBM Institute for Business Value (IBM IBV),2025.0,https://www.ibm.com/thought-leadership/institute-business-value/en-us/report/business-trends-2025,Industry,ind,USA,5 Trends for 2025 Ignite innovation with people-powered AI (web ppt),No,"IBM Institute for Business Value (IBM IBV), 2025",5 Trends for 2025,"Principles: innovation through generative AI, agentic AI for autonomous decision-making, balancing agility and security, fostering digital transformation, addressing infrastructure challenges; "," trust, resilience, adaptability, collaboration, responsible AI deployment",,,No
DOC_004,Hinrichs,A Hindu Perspective on AI Risks and Opportunities,Future of Life Institute,2024.0,https://futureoflife.org/religion/a-hindu-perspective-on-ai-risks-and-opportunities/?form=MG0AV3,Religious Organization,rel,International,https://futureoflife.org/religion/a-hindu-perspective-on-ai-risks-and-opportunities/?form=MG0AV3,No,"Future of Life Institute, 2024",A Hindu Perspective on AI Risks and Opportunities,"Principles: enhancing human welfare, promoting global unity, preserving human autonomy, preventing bias and inequality, maintaining life purpose; "," dharma (righteous duty), seva (selfless service), vasudhaiva kutumbakam (world as one family), purushartha (free will)",,,No
DOC_005,Hinrichs,A Next Generation Artificial Intelligence Development Plan,State Council of China,2017.0,https://www.aiia-ai.org/col.jsp?id=200,Government,gov,China,https://www.airuniversity.af.edu/Portals/10/CASI/documents/Translations/2021-03-02%20China%27s%20New%20Generation%20Artificial%20Intelligence%20Development%20Plan-%202017.pdf,No,"State Council of China, 2017",China National AI Strategy,"Principles: Innovation-driven development, ethical AI, economic transformation, security, transparency, accountability, sustainability, governance, international cooperation, AI safety, workforce adaptation; "," National competitiveness, social stability, responsible AI deployment, human-centric development, technological sovereignty",,,No
DOC_006,Hinrichs,Adobe’s AI Ethics Principles,Adobe Inc.,2021.0,https://www.adobe.com/content/dam/cc/en/ai-ethics/pdfs/Adobe-AI-Ethics-Principles.pdf?form=MG0AV3,Industry,ind,USA,https://www.adobe.com/content/dam/cc/en/ai-ethics/pdfs/Adobe-AI-Ethics-Principles.pdf?form=MG0AV3,No,"Adobe Inc., 2021",Adobe's AI Ethics Principles,"Principles: accountability, responsibility, transparency; "," ethical responsibility, inclusivity, societal trust, innovation, fairness",,,No
DOC_007,Hinrichs,AI and Islamic Ethics: A Framework for Ethical AI Development Based on Maqasid Al-Shariah,"International Conference on Artificial Intelligence, Navigation, Engineering, and Aviation Technology (ICANEAT)",2023.0,https://www.icaneat-apibanyuwangi.org/index.php/icaneat/article/view/105/105,Academia,aca,Indonesia,https://www.icaneat-apibanyuwangi.org/index.php/icaneat/article/view/105/105,No,"International Conference on Artificial Intelligence, Navigation, Engineering, and Aviation Technology (ICANEAT), 2023",AI and Islamic Ethics,"Principles: Justice (ʿadl), human dignity (karāmah), responsibility (mas’ūliyyah), public interest (maṣlaḥa), preservation of faith (dīn), life (nafs), intellect (ʿaql), lineage (nasl), and wealth (māl).​
"," Justice, human dignity, responsibility, public interest, preservation of fundamental aspects of human existence.",,,No
DOC_008,Jobin,AI and Privacy,Norwegian Data Protection Authority (Datatilsynet),2018.0,https://www.datatilsynet.no/en/regulations-and-tools/reports-on-specific-subjects/ai-and-privacy/,Regulatory Body,gov,Norway,https://www.datatilsynet.no/globalassets/global/english/ai-and-privacy.pdf,No,"Norwegian Data Protection Authority (Datatilsynet), 2020",Artificial intelligence and privacy,"Principles: fairness and discrimination, purpose limitation, data minimization, transparency, right to information; "," privacy, accountability, ethical responsibility, inclusivity",,,No
DOC_009,Hinrichs,AI and Society Research Group,Victoria University of Wellington,2025.0,https://ecs.wgtn.ac.nz/Groups/AI_and_Society/?form=MG0AV3,Academia,aca,New Zeland,GPAI-Belgrade-Declaration-final-3.pdf,No,"Victoria University of Wellington, 2025",AI and Society Research Group,"Principles: fairness, transparency, accountability, privacy, security; "," societal impact, ethical AI, human oversight, sustainability, inclusivity",,,No
DOC_010,Hinrichs,"AI and Sustainability: Opportunities, Challenges, and Impact",EY (Ernst & Young),2025.0,https://www.ey.com/en_nl/insights/climate-change-sustainability-services/ai-and-sustainability-opportunities-challenges-and-impact?form=MG0AV3,Industry,ind,Netherlands,https://www.ey.com/en_nl/insights/climate-change-sustainability-services/ai-and-sustainability-opportunities-challenges-and-impact?form=MG0AV3,No,"EY (Ernst & Young), 2025","AI and Sustainability: Opportunities, Challanges and Impact","Principles: environmental sustainability, responsible AI development, energy efficiency, transparency, interdisciplinary collaboration; "," ecological preservation, ethical responsibility, innovation, accountability, global cooperation",,,No
DOC_011,Hinrichs,"AI Ethics: Principles, Frameworks & Governance",Cimphony AI,2025.0,https://www.cimphony.ai/insights/ai-ethics-principles-frameworks-and-governance?form=MG0AV3,Industry,ind,International,https://www.cimphony.ai/insights/ai-ethics-principles-frameworks-and-governance?form=MG0AV3,No,"Cimphony AI, 2025","AI Ethics: Principles, Frameworks & Governance","Principles: fairness, transparency, human control, doing good, avoiding harm, bias minimization, explainability, data protection; "," ethical responsibility, societal trust, inclusivity, fairness, safety",,,No
DOC_012,Hinrichs,AI for Africa Blueprint,Smart Africa & Republic of South Africa,2020.0,https://www.aiia-ai.org/col.jsp?id=200,NGO,ngo,South Africa (Pan-African Scope),(South Africa)70029-eng_ai-for-africa-blueprint.pdf,No,"Smart Africa & Republic of South Africa, 2021",South Africa AI Strategy,"Principles: Human-centric AI, ethical AI, transparency, fairness, international collaboration, environmental sustainability, inclusive growth, responsible AI governance, digital infrastructure, AI sovereignty; "," Public trust, collective progress, economic development, innovation, empowerment, social responsibility, regional integration, digital inclusion, African autonomy",,,No
DOC_013,Hinrichs,AI for Good - Alibaba’s Vision for Tackling Global Challenges,Alibaba Group,2025.0,https://www.alizila.com/ai-for-good-alibabas-vision-for-tackling-global-challenges,Industry,ind,China,,No,"Alibaba Group, 2025",AI for Good: Alibaba's Vision for Tackling Global Challenges,"Principles: climate risk mitigation, healthcare innovation, agricultural advancement, scientific discovery, educational enhancement; "," sustainability, societal well-being, innovation, inclusivity",,,No
DOC_014,Jobin,Digital Ethics – Deutsche Telekom's AI Guidelines,Deutsche Telekom,2018.0,https://www.telekom.com/en/company/digital-responsibility/digital-ethics-deutsche-telekoms-ai-guideline,Industry,ind,Germany,,No,"Deutsche Telekom, 2018",Deutsche Telekom,"Principles: responsible, careful, supporting, transparent, secure, reliable, trustworthy, cooperative, illustrative; "," customer satisfaction, innovation, integrity, social responsibility",,,No
DOC_015,Hinrichs,AI in Islamic Ethics: Towards Pluralist Ethical Benchmarking for AI,"College of Law, Qatar University (Author: Ezieddin Elmahjub)",2023.0,https://link.springer.com/article/10.1007/s13347-023-00668-x?form=MG0AV3,Academia,aca,Qatar,,No,"College of Law, Qatar University (Author: Ezieddin Elmahjub), 2023",AI in Islamic Ethics,"Principles: Justice (ʿadl), human dignity (karāmah), responsibility (mas’ūliyyah), public interest (maṣlaḥa), preservation of faith (dīn), life (nafs), intellect (ʿaql), lineage (nasl), and wealth (māl).​
"," Justice, human dignity, responsibility, public interest, preservation of fundamental aspects of human existence.",,,No
DOC_016,Harvard,"AI in the UK: Ready, Willing and Able?",House of Lords Select Committee on Artificial Intelligence,2018.0,https://publications.parliament.uk/pa/ld201719/ldselect/ldai/100/100.pdf?form=MG0AV3,Government,gov,UK,,No,"House of Lords Select Committee on Artificial Intelligence, 2018","AI in the UK: Ready, WIlling and Able 2019","Principles: transparency, accountability, fairness, justice, privacy, sustainability, responsibility, non-maleficence; "," ethical responsibility, inclusivity, societal trust, human-centric development",,,No
DOC_017,Floridi,"AI in the UK: Ready, Willing and Able?",House of Lords Select Committee on Artificial Intelligence,2018.0,https://publications.parliament.uk/pa/ld201719/ldselect/ldai/100/100.pdf?form=MG0AV3,Government,gov,UK,,No,"House of Lords Select Committee on Artificial Intelligence, 2018","AI in the UK: Ready, WIlling and Able? 2018","Principles: transparency, accountability, fairness, security, safety, human dignity, well-being, non-discrimination, justice; "," ethical responsibility, inclusivity, societal trust, human-centric development",,,No
DOC_018,Jobin,AI Now 2017 Report,AI Now Institute,2017.0,https://ainowinstitute.org/publication/ai-now-2017-report-2?form=MG0AV3,Academia,aca,USA,,No,"AI Now Institute, 2017",AI Now 2017 Report,"Principles: labor and automation, bias and inclusion, rights and liberties, ethics and governance; "," fairness, transparency, accountability, inclusivity",,,No
