Researcher,Name of Document/Website,Issuer,Country of Issuer,Date of Issue,Focus Area,Alignment,Gaps,Sector,URL,Values,Unnamed: 11
Hinrichs,"African Union’s Continental Strategy for AI
",African Executive Council in 2024 Endorsement,Africa,2024,"Harnessing AI's Benefits. Building AI Capabilities: Minimizing Risks, Stimulating Investment, Fostering Cooperation",,,Government,https://au.int/en/documents/20240809/continental-artificial-intelligence-strategy,,*******
Hinrichs,Australia’s AI Ethics Framework,,Australia,2019,"Establishing principles to ensure the responsible design, development, and use of AI. The framework emphasizes human-centric values, fairness, transparency, privacy protection, and accountability. It encourages innovation while minimizing risks and ensuring AI benefits society. It also provides guidance for businesses and policymakers on ethical AI adoption.",,,Government,,"Privacy, Transparency",*******
Jobin,Artificial Intelligence. Australia’s Ethics Framework: A Discussion Paper,Department of Industry Innovation and Science,Australia,4/1/2019 0:00,"Outlines principles for responsible AI development and deployment, emphasizing fairness, transparency, and accountability. The framework provides guidance to industry and government on addressing ethical challenges while fostering innovation.",,,,,Transparency,*******
Hinrichs,University of Sydney,Sydney Artificial Intelligence Centre,Australia,on-going,"Cutting-edge research on fundamental AI and its applications.Fairness, accountability, and transparency",,,Academia,https://www.sydney.edu.au/engineering/our-research/data-science-and-computer-engineering/sydney-artificial-intelligence-centre.html,Transparency,*******
Hinrichs,Brazil’s AI Strategy,,Brazil,4/1/2021 0:00,"Developing a comprehensive national AI strategy aimed at fostering innovation, ethical governance, and economic growth through AI. The strategy emphasizes capacity building, education, transparency, and privacy. It also promotes the integration of AI across public and private sectors to address societal challenges while ensuring adherence to ethical standards.",,,Government,,"Privacy, Transparency",*******
Hinrichs,Montreal Declaration for Responsible AI,University of Montreal,Canada,2018,,,,Academia,,,*******
Hinrichs,Canada’s Directive on Automated Decision-Making,,Canada,2019,,,,Government,,,*******
Jobin,Montréal Declaration: Responsible AI,Université de Montréal,Canada,12/1/2018 0:00,"Advocates for a human-centered approach to AI, emphasizing principles such as fairness, autonomy, and solidarity. It aims to guide ethical AI development and ensure its societal benefits outweigh risks.",,,,,Solidarity,*******
Hinrichs,University of Toronto,Department of Computer Science,Canada,on-going,"Department/Program: Schwartz Reisman Institute for Technology and Society. Research on dignity, human rights, and responsible innovation. Departments Cognitive robotics, computational imaging, computational linguistics and NLP, knowledge representation, machine learning and robotics",,,Academia,https://web.cs.toronto.edu/research/artificial-intelligence,Dignity,*******
Hinrichs,"China’s New Generation AI Development Plan. 
National Governance Committee for the New Generation Artificial Intelligence. (2021). ",,China,2017,"The China’s New Generation AI Development Plan was first released in 2017 by the Chinese government and serves as a national strategic framework to position China as a global leader in AI by 2030. The National Governance Committee for the New Generation Artificial Intelligence, established later, contributes to this plan by focusing specifically on governance, ethical guidelines, and regulatory frameworks for AI. The 2021 updates reflect the evolution and refinement of this broader strategy, incorporating governance measures to align AI advancements with societal and ethical principles.

Key Components:
China’s New Generation AI Development Plan (2017):

Focused on technological innovation, industrial integration, and societal applications of AI.
Aimed at achieving global AI leadership by 2030.
National Governance Committee’s Contribution (2021):

Emphasized agile governance frameworks, ethical AI principles, and risk management.
Aimed at addressing the societal, ethical, and regulatory challenges of AI technologies.
Thus, the two references represent different aspects of the same strategic plan, with the 2021 governance updates building upon the original 2017 framework.",,,Government,"https://www.most.gov.cn/kjbgz/202109/t20210926_177063.html
",,*******
