Unique_ID,Name of Document/Website,Matched_PDF
DOC_001,10 Principles of Responsible AI,AI Principles of Telefonica Spain 2018.pdf
DOC_002,2025 and the Next Chapters of AI,
DOC_003,5 Trends for 2025,
DOC_004,A Hindu Perspective on AI Risks and Opportunities,New_Perspectives_on_AI_Alignment.pdf
DOC_005,A Next Generation Artificial Intelligence Development Plan,"Gabriel Artificial Intelligence, Values, and Alignment.pdf"
DOC_006,Adobe’s AI Ethics Principles,Adobe-AI-Ethics-Principles.pdf
DOC_007,AI and Islamic Ethics: A Framework for Ethical AI Development Based on Maqasid Al-Shariah,Schicktanz AI Assisted Ethics Consideration of AI simulation for the Ethical Assessment and Design of Assistive Technoloie.pdf
DOC_008,AI and Privacy,
DOC_009,AI and Society Research Group,AI Governance Research Agenda.pdf
DOC_010,"AI and Sustainability: Opportunities, Challenges, and Impact",
DOC_011,"AI Ethics: Principles, Frameworks & Governance",Adobe-AI-Ethics-Principles.pdf
DOC_012,AI for Africa Blueprint,
DOC_013,AI for Good - Alibaba’s Vision for Tackling Global Challenges,
DOC_014,Digital Ethics – Deutsche Telekom's AI Guidelines,Digital Dreams Have Become Nightmares.pdf
DOC_015,AI in Islamic Ethics: Towards Pluralist Ethical Benchmarking for AI,Business Ethics and Artificial Intelligence 2018.pdf
DOC_016,"AI in the UK: Ready, Willing and Able?",AI in the UK ready willing and able.pdf
DOC_017,"AI in the UK: Ready, Willing and Able?",AI in the UK ready willing and able.pdf
DOC_018,"AI in the UK: Ready, Willing and Able?",AI in the UK ready willing and able.pdf
DOC_019,AI Now 2017 Report,APCO_NG911_Report_Final.pdf
DOC_020,AI Opportunities Action Plan,
DOC_021,AI Policy and Governance,AI Governance Research Agenda.pdf
DOC_022,Asilomar AI Principles,Beijing AI Principles.pdf
DOC_023,AI Ethics Principles,Adobe-AI-Ethics-Principles.pdf
DOC_024,AI Principles of Telefónica,AI Principles of Telefonica Spain 2018.pdf
DOC_025,AI Strategy for Mexico,Artificial Intelligence for Europe.pdf
DOC_026,Aligning Artificial Intelligence and Climate Governance,Guidelines on Artificial Intelligence for the Confederation.pdf
DOC_027,Annual Report of the CIFAR Pan-Canadian AI Strategy,
DOC_028,Argentina National AI Strategy,African Unions Continental AI Strategy 2024.pdf
DOC_029,Artificial Intelligence (AI) in Health,Artificial Intelligence for Europe.pdf
DOC_030,Artificial Intelligence Act,Artificial Intelligence for Europe.pdf
DOC_031,Artificial Intelligence Act,Artificial Intelligence for Europe.pdf
DOC_032,Artificial Intelligence Act (AI Act),Artificial Intelligence for Europe.pdf
DOC_033,Artificial Intelligence and Climate Change,Harvard Artificial Intelligence and Human Rights.pdf
DOC_034,Artificial Intelligence and Machine Learning: Policy Paper,Harvard Artificial Intelligence and Human Rights.pdf
DOC_035,Artificial Intelligence Policy Priorities,Artificial Intelligence for Europe.pdf
DOC_036,Artificial Intelligence Research Programme,Artificial Intelligence for Europe.pdf
DOC_037,Artificial Intelligence Strategy,Artificial Intelligence for Europe.pdf
DOC_038,Artificial Intelligence Technology Strategy,Artificial Intelligence for Europe.pdf
DOC_039,"Artificial Intelligence. Australia’s Ethics Framework: A Discussion Paper, ",Artificial Intelligence for Europe.pdf
DOC_040,Artificial Intelligence. The Public Policy Opportunity,Intel-Artificial-Intelligence-Public-Policy-White-Paper-2017.pdf
DOC_041,Artificial Intelligence: Open Questions About Gender Inclusion,Artificial Intelligence for Europe.pdf
DOC_042,"Artificial Intelligence: Solving Problems, Growing the Economy, and Improving Our Quality of Life","Gabriel Artificial Intelligence, Values, and Alignment.pdf"
DOC_043,Artificial Intelligence: The Road Ahead in Low and Middle-Income Countries,"Gabriel Artificial Intelligence, Values, and Alignment.pdf"
DOC_044,Asilomar AI Principles,Beijing AI Principles.pdf
DOC_045,Asilomar AI Principles,Beijing AI Principles.pdf
DOC_046,Australia's AI Ethics Principles,Adobe-AI-Ethics-Principles.pdf
DOC_047,Baidu's AI Ethics Principles,Adobe-AI-Ethics-Principles.pdf
DOC_048,Bases para la Agenda Digital Argentina,Metaverse and Virtual Health Care.pdf
DOC_049,Beijing AI Principles,Beijing AI Principles.pdf
DOC_050,Beijing AI Principles,Beijing AI Principles.pdf
DOC_051,"Big Data, Artificial Intelligence, Machine Learning and Data Protection",Treve Integrating Artificial Intelligence in Education Impacts on Student Learning and Innovation.pdf
DOC_052,Brazilian Artificial Intelligence Strategy (EBIA),Artificial Intelligence for Europe.pdf
DOC_053,Building AI That Benefits Humanity,Beijing AI Principles.pdf
DOC_054,Building Generative AI Responsibly,Raji Closing the AI Accountability Gap.pdf
DOC_055,Business Ethics and Artificial Intelligence,Business Ethics and Artificial Intelligence 2018.pdf
DOC_056,CDT Europe's AI Bulletin - February 2025,
DOC_057,Center for the Governance of AI,Floridi Soft Ethics and the Governance of the Digital.pdf
DOC_058,Charlevoix Common Vision for the Future of Artificial Intelligence,Villani For a meaningful artificial intelligence.pdf
DOC_059,Chile Ethical Artificial Intelligence,Business Ethics and Artificial Intelligence 2018.pdf
DOC_060,Chile's Ethical Artificial Intelligence Framework,Business Ethics and Artificial Intelligence 2018.pdf
DOC_061,China's Emerging Approach to Regulating General-Purpose Artificial Intelligence,Villani For a meaningful artificial intelligence.pdf
DOC_062,Claude's Constitution,
DOC_063,Code of Ethics for Artificial Intelligence,Business Ethics and Artificial Intelligence 2018.pdf
DOC_064,Code of Ethics for Artificial Intelligence,Business Ethics and Artificial Intelligence 2018.pdf
DOC_065,Commitments and Principles,Beijing AI Principles.pdf
DOC_066,Confucian Ethics and Artificial Intelligence,Business Ethics and Artificial Intelligence 2018.pdf
DOC_067,Continental Artificial Intelligence Strategy,Artificial Intelligence for Europe.pdf
DOC_068,Coordinated Plan on Artificial Intelligence 2021 Review,Business Ethics and Artificial Intelligence 2018.pdf
