Document ID,Title,Researcher,Year,Issuer,Country,Source URL,Extracted Terms,Normalized Values,Values Referenced,Principles Mentioned,Downloaded,Source Group,Notes
D001,10 Principles of Responsible AI,Jobin,2018.0,Women Leading in AI,UK,Women Leading in AI,"Principles and Values:
fairness (normative, foundational)
transparency (normative, operational)
accountability (regulatory, operational)
privacy (regulatory, foundational)
safety and security (regulatory, operational)
inclusivity (behavioral, contextual)
human control (conceptual, foundational)
sustainability (normative, evaluative)
professional responsibility (conceptual, operational)
promotion of human values (normative, evaluative)","Fairness, transparency, accountability, privacy, inclusivity, human control, sustainability, promotion of human values",,,N,Jobin,
D002,2025 and the Next Chapters of AI,Hinrichs,2025.0,Google Deep Minds,USA,2025 and the Next Chapters of AI,"Principles: trust, safety, transparency, fairness, proactive governance, ethical integration, addressing unintended consequences, fostering innovation responsibly; Values: inclusivity, ethical responsibility, societal trust, sustainability, collaboration"," inclusivity, ethical responsibility, societal trust, sustainability, collaboration",,,N,Hinrichs,
D003,5 Trends for 2025,Hinrichs,2025.0,IBM Institute for Business Value (IBM IBV),USA,5 Trends for 2025,"Principles: innovation through generative AI, agentic AI for autonomous decision-making, balancing agility and security, fostering digital transformation, addressing infrastructure challenges; Values: trust, resilience, adaptability, collaboration, responsible AI deployment"," trust, resilience, adaptability, collaboration, responsible AI deployment",,,N,Hinrichs,
D004,A Hindu Perspective on AI Risks and Opportunities,Hinrichs,2024.0,Future of Life Institute,International,A Hindu Perspective on AI Risks and Opportunities,"Principles: enhancing human welfare, promoting global unity, preserving human autonomy, preventing bias and inequality, maintaining life purpose; Values: dharma (righteous duty), seva (selfless service), vasudhaiva kutumbakam (world as one family), purushartha (free will)"," dharma (righteous duty), seva (selfless service), vasudhaiva kutumbakam (world as one family), purushartha (free will)",,,N,Hinrichs,
D005,A Next Generation Artificial Intelligence Development Plan,Hinrichs,2017.0,State Council of China,China,China National AI Strategy,"Principles: Innovation-driven development, ethical AI, economic transformation, security, transparency, accountability, sustainability, governance, international cooperation, AI safety, workforce adaptation; Values: National competitiveness, social stability, responsible AI deployment, human-centric development, technological sovereignty"," National competitiveness, social stability, responsible AI deployment, human-centric development, technological sovereignty",,,N,Hinrichs,
D006,Adobe’s AI Ethics Principles,Hinrichs,2021.0,Adobe Inc.,USA,Adobe's AI Ethics Principles,"Principles: accountability, responsibility, transparency; Values: ethical responsibility, inclusivity, societal trust, innovation, fairness"," ethical responsibility, inclusivity, societal trust, innovation, fairness",,,N,Hinrichs,
D007,AI and Islamic Ethics: A Framework for Ethical AI Development Based on Maqasid Al-Shariah,Hinrichs,2023.0,"International Conference on Artificial Intelligence, Navigation, Engineering, and Aviation Technology (ICANEAT)",Indonesia,AI and Islamic Ethics,"Principles: Justice (ʿadl), human dignity (karāmah), responsibility (mas’ūliyyah), public interest (maṣlaḥa), preservation of faith (dīn), life (nafs), intellect (ʿaql), lineage (nasl), and wealth (māl).​
Values: Justice, human dignity, responsibility, public interest, preservation of fundamental aspects of human existence."," Justice, human dignity, responsibility, public interest, preservation of fundamental aspects of human existence.",,,N,Hinrichs,
D008,AI and Privacy,Jobin,2020.0,Norwegian Data Protection Authority (Datatilsynet),Norway,Artificial intelligence and privacy,"Principles: fairness and discrimination, purpose limitation, data minimization, transparency, right to information; Values: privacy, accountability, ethical responsibility, inclusivity"," privacy, accountability, ethical responsibility, inclusivity",,,N,Jobin,
D009,AI and Society Research Group,Hinrichs,2025.0,Victoria University of Wellington,New Zeland,AI and Society Research Group,"Principles: fairness, transparency, accountability, privacy, security; Values: societal impact, ethical AI, human oversight, sustainability, inclusivity"," societal impact, ethical AI, human oversight, sustainability, inclusivity",,,N,Hinrichs,
D010,"AI and Sustainability: Opportunities, Challenges, and Impact",Hinrichs,2025.0,EY (Ernst & Young),Netherlands,"AI and Sustainability: Opportunities, Challanges and Impact","Principles: environmental sustainability, responsible AI development, energy efficiency, transparency, interdisciplinary collaboration; Values: ecological preservation, ethical responsibility, innovation, accountability, global cooperation"," ecological preservation, ethical responsibility, innovation, accountability, global cooperation",,,N,Hinrichs,
