Ethical Term,Frequency,Category
principles,250,Unclassified
transparency,214,Core
values,212,Unclassified
accountability,179,Core
fairness,154,Core
inclusivity,123,Social
ethical responsibility,96,Core
privacy,89,Core
security,86,Core
innovation,83,Unclassified
sustainability,79,Unclassified
safety,77,Core
responsibility,73,Core
trust,55,Social
collaboration,46,Social
human rights,42,Social
justice,39,Core
human dignity,38,Social
explainability,35,Core
societal trust,34,Social
non-discrimination,33,Unclassified
diversity,27,Social
robustness,27,Core
well-being,26,Unclassified
autonomy,26,Core
environmental sustainability,26,Unclassified
trustworthiness,24,Social
economic growth,24,Unclassified
democratic values,23,Unclassified
equity,23,Unclassified
data protection,23,Core
equality,23,Social
societal well-being,21,Unclassified
inclusive growth,19,Unclassified
sustainable development,17,Unclassified
governance,17,Unclassified
safety and security,15,Core
ethical ai development,14,Unclassified
dignity,14,Social
social justice,13,Core
respect for human rights,12,Social
human oversight,12,Unclassified
accessibility,12,Social
public trust,12,Social
human-centric ai,11,Unclassified
freedom,11,Unclassified
respect,11,Social
privacy and security,11,Core
inclusiveness,11,Unclassified
human-centric development,11,Unclassified
ethical ai,11,Unclassified
competitiveness,10,Unclassified
transparency and explainability,10,Core
ai governance,10,Unclassified
reliability,9,Core
responsible business conduct,9,Unclassified
ethical ai use,9,Unclassified
accuracy,8,Core
digital inclusion,8,Unclassified
ethics,8,Unclassified
non-maleficence,8,Unclassified
integrity,7,Unclassified
international collaboration,7,Social
human-centered values,7,Unclassified
interdisciplinary collaboration,7,Social
responsible ai development,7,Unclassified
human capital development,7,Unclassified
workforce development,7,Unclassified
ethical considerations,7,Unclassified
human-centered ai,7,Unclassified
moral agency,7,Emerging
labour rights,6,Unclassified
data infrastructure,6,Unclassified
fundamental freedoms,6,Unclassified
social responsibility,6,Core
global cooperation,6,Unclassified
data governance,6,Unclassified
human control,6,Unclassified
technological leadership,6,Unclassified
openness,6,Unclassified
privacy and data protection,6,Core
privacy protection,6,Core
operational,6,Unclassified
inclusion,6,Unclassified
responsible ai deployment,6,Unclassified
talent development,6,Emerging
public interest,5,Unclassified
human rights protection,5,Social
ethical oversight,5,Unclassified
data-driven decision-making,5,Unclassified
human-centric approach,5,Unclassified
empowerment,5,Unclassified
traceability,5,Unclassified
accountability values,5,Core
user empowerment,5,Unclassified
proactive governance,5,Unclassified
beneficence,5,Unclassified
ethical development,5,Unclassified
explicability,5,Unclassified
research and development,5,Unclassified
reliability and safety,5,Core
value alignment,5,Emerging
education,5,Unclassified
competence,5,Unclassified
environmental responsibility,5,Core
knowledge sharing,5,Unclassified
cybersecurity,5,Core
digital transformation,5,Unclassified
interoperability,5,Unclassified
rule of law,5,Unclassified
human values,4,Unclassified
foundational,4,Unclassified
freedom of expression,4,Unclassified
normative,4,Unclassified
digital sovereignty,4,Unclassified
adaptability,4,Unclassified
fairness and inclusion,4,Core
societal benefit,4,Unclassified
resilience,4,Unclassified
ethical use,4,Unclassified
solidarity,4,Unclassified
human well-being,4,Unclassified
common good,4,Unclassified
shared prosperity,4,Unclassified
robustness and safety,4,Core
environmental stewardship,4,Unclassified
respect for autonomy,4,Core
international cooperation,4,Unclassified
lifelong learning,4,Unclassified
democracy,4,Unclassified
ecological preservation,4,Unclassified
