Ethical Term,Frequency,Category,Fuzzy Matched Term,Recalibrated Category,Final Category
principles,250,Unclassified,,,Unclassified
transparency,214,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
values,212,Unclassified,,,Unclassified
accountability,179,Core,Accountability,Virtues,Virtues
fairness,154,Core,Fairness,Personal Values,Personal Values
inclusivity,123,Social,,,Social
ethical responsibility,96,Core,Responsibility,Core Chosen,Core Chosen
privacy,89,Core,,,Core
security,86,Core,,,Core
innovation,83,Unclassified,,,Unclassified
sustainability,79,Unclassified,Sustainability,Regulatory,Regulatory
safety,77,Core,,,Core
responsibility,73,Core,Responsibility,Core Chosen,Core Chosen
trust,55,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
collaboration,46,Social,,,Social
human rights,42,Social,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
justice,39,Core,Justice,Virtues,Virtues
human dignity,38,Social,Dignity,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
explainability,35,Core,,,Core
societal trust,34,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
non-discrimination,33,Unclassified,,,Unclassified
diversity,27,Social,,,Social
robustness,27,Core,,,Core
well-being,26,Unclassified,,,Unclassified
autonomy,26,Core,,,Core
environmental sustainability,26,Unclassified,Sustainability,Regulatory,Regulatory
trustworthiness,24,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
economic growth,24,Unclassified,,,Unclassified
democratic values,23,Unclassified,,,Unclassified
equity,23,Unclassified,,,Unclassified
data protection,23,Core,,,Core
equality,23,Social,,,Social
societal well-being,21,Unclassified,,,Unclassified
inclusive growth,19,Unclassified,,,Unclassified
sustainable development,17,Unclassified,,,Unclassified
governance,17,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
safety and security,15,Core,,,Core
ethical ai development,14,Unclassified,,,Unclassified
dignity,14,Social,Dignity,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
social justice,13,Core,Justice,Virtues,Virtues
respect for human rights,12,Social,Respect,Virtues,Virtues
human oversight,12,Unclassified,,,Unclassified
accessibility,12,Social,,,Social
public trust,12,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
human-centric ai,11,Unclassified,,,Unclassified
freedom,11,Unclassified,,,Unclassified
respect,11,Social,Respect,Virtues,Virtues
privacy and security,11,Core,,,Core
inclusiveness,11,Unclassified,,,Unclassified
human-centric development,11,Unclassified,,,Unclassified
ethical ai,11,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
competitiveness,10,Unclassified,,,Unclassified
transparency and explainability,10,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
ai governance,10,Unclassified,,,Unclassified
reliability,9,Core,,,Core
responsible business conduct,9,Unclassified,,,Unclassified
ethical ai use,9,Unclassified,,,Unclassified
accuracy,8,Core,,,Core
digital inclusion,8,Unclassified,,,Unclassified
ethics,8,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
non-maleficence,8,Unclassified,Non-maleficence,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
integrity,7,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
international collaboration,7,Social,,,Social
human-centered values,7,Unclassified,,,Unclassified
interdisciplinary collaboration,7,Social,,,Social
responsible ai development,7,Unclassified,,,Unclassified
human capital development,7,Unclassified,,,Unclassified
workforce development,7,Unclassified,,,Unclassified
ethical considerations,7,Unclassified,,,Unclassified
human-centered ai,7,Unclassified,,,Unclassified
moral agency,7,Emerging,,,Emerging
labour rights,6,Unclassified,,,Unclassified
data infrastructure,6,Unclassified,,,Unclassified
fundamental freedoms,6,Unclassified,,,Unclassified
social responsibility,6,Core,Responsibility,Core Chosen,Core Chosen
global cooperation,6,Unclassified,,,Unclassified
data governance,6,Unclassified,,,Unclassified
human control,6,Unclassified,,,Unclassified
technological leadership,6,Unclassified,,,Unclassified
openness,6,Unclassified,,,Unclassified
privacy and data protection,6,Core,,,Core
privacy protection,6,Core,,,Core
operational,6,Unclassified,,,Unclassified
inclusion,6,Unclassified,,,Unclassified
responsible ai deployment,6,Unclassified,,,Unclassified
talent development,6,Emerging,,,Emerging
public interest,5,Unclassified,,,Unclassified
human rights protection,5,Social,,,Social
ethical oversight,5,Unclassified,,,Unclassified
data-driven decision-making,5,Unclassified,,,Unclassified
human-centric approach,5,Unclassified,,,Unclassified
empowerment,5,Unclassified,,,Unclassified
traceability,5,Unclassified,,,Unclassified
accountability values,5,Core,Accountability,Virtues,Virtues
user empowerment,5,Unclassified,,,Unclassified
proactive governance,5,Unclassified,,,Unclassified
beneficence,5,Unclassified,Beneficence,Normative,Normative
ethical development,5,Unclassified,,,Unclassified
explicability,5,Unclassified,,,Unclassified
research and development,5,Unclassified,,,Unclassified
reliability and safety,5,Core,,,Core
value alignment,5,Emerging,,,Emerging
education,5,Unclassified,,,Unclassified
competence,5,Unclassified,,,Unclassified
environmental responsibility,5,Core,Responsibility,Core Chosen,Core Chosen
knowledge sharing,5,Unclassified,,,Unclassified
cybersecurity,5,Core,,,Core
digital transformation,5,Unclassified,,,Unclassified
interoperability,5,Unclassified,,,Unclassified
rule of law,5,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
human values,4,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
foundational,4,Unclassified,,,Unclassified
freedom of expression,4,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
normative,4,Unclassified,,,Unclassified
digital sovereignty,4,Unclassified,,,Unclassified
adaptability,4,Unclassified,,,Unclassified
fairness and inclusion,4,Core,Fairness,Personal Values,Personal Values
societal benefit,4,Unclassified,,,Unclassified
resilience,4,Unclassified,Resilience,Structural Values (Systems),Structural Values (Systems)
ethical use,4,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
solidarity,4,Unclassified,Solidarity,Digital Ethics (Emerging),Digital Ethics (Emerging)
human well-being,4,Unclassified,,,Unclassified
common good,4,Unclassified,,,Unclassified
shared prosperity,4,Unclassified,,,Unclassified
robustness and safety,4,Core,,,Core
environmental stewardship,4,Unclassified,,,Unclassified
respect for autonomy,4,Core,Respect,Virtues,Virtues
international cooperation,4,Unclassified,,,Unclassified
lifelong learning,4,Unclassified,,,Unclassified
democracy,4,Unclassified,,,Unclassified
ecological preservation,4,Unclassified,,,Unclassified
human agency and oversight,4,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
continuous improvement,4,Unclassified,,,Unclassified
human-centricity,4,Unclassified,,,Unclassified
national competitiveness,4,Unclassified,,,Unclassified
effectiveness,4,Unclassified,,,Unclassified
societal impact,4,Unclassified,,,Unclassified
human-ai collaboration,4,Social,,,Social
collective progress,4,Unclassified,,,Unclassified
societal and environmental well-being,4,Unclassified,,,Unclassified
purpose limitation,4,Unclassified,,,Unclassified
academic integrity,4,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
gender equality,4,Social,,,Social
shared responsibility,4,Core,Responsibility,Core Chosen,Core Chosen
national security,4,Core,,,Core
proportionality,4,Unclassified,,,Unclassified
data minimization,4,Unclassified,,,Unclassified
awareness of misuse,3,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
harmony,3,Unclassified,Social Harmony,Regulatory,Regulatory
research and innovation,3,Unclassified,,,Unclassified
benefit and harm,3,Unclassified,,,Unclassified
ethical governance,3,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
agriculture,3,Unclassified,,,Unclassified
data privacy,3,Core,,,Core
ethical deployment,3,Unclassified,,,Unclassified
human-centric design,3,Unclassified,,,Unclassified
global competitiveness,3,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
responsible ai,3,Unclassified,,,Unclassified
human-centered approach,3,Unclassified,,,Unclassified
data security,3,Core,,,Core
interpretability,3,Unclassified,,,Unclassified
fairness and non-discrimination,3,Core,Fairness,Personal Values,Personal Values
s welfare,3,Unclassified,,,Unclassified
risk mitigation,3,Unclassified,,,Unclassified
public engagement,3,Unclassified,,,Unclassified
rights,3,Unclassified,,,Unclassified
democratic participation,3,Social,,,Social
individual rights,3,Unclassified,,,Unclassified
fairness and justice,3,Core,Fairness,Personal Values,Personal Values
data sovereignty,3,Unclassified,,,Unclassified
